#
# conName	cFromPadded	cToPadded	cFromUnpadded	cToUnpadded	type	rName	rFromPadded	rToPadded	rFromUnpadded	rToUnpadded	comment
#
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1435	1435	1435	1435	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1435	1435	1435	1435	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1436	1436	1436	1436	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1436	1436	1436	1436	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1437	1437	1437	1437	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1437	1437	1437	1437	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1438	1438	1438	1438	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1438	1438	1438	1438	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1439	1439	1439	1439	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1439	1439	1439	1439	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1441	1441	1441	1441	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1441	1441	1441	1441	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1448	1448	1448	1448	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1448	1448	1448	1448	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	2172	2172	2172	2172	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	2172	2172	2172	2172	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	6196	6196	6189	6189	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	6196	6196	6189	6189	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	9674	9674	9667	9667	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	9674	9674	9667	9667	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12447	12447	12430	12430	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12447	12447	12430	12430	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12448	12448	12431	12431	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12448	12448	12431	12431	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12449	12449	12432	12432	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12449	12449	12432	12432	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12451	12451	12434	12434	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12451	12451	12434	12434	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12457	12457	12440	12440	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	12457	12457	12440	12440	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	203	94	203	94	HAF3	A00709:261:HT7NNDSX2:3:1607:11749:21089/1	0	109	0	109	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	93	84	93	84	HAF4	A00709:261:HT7NNDSX2:3:1607:11749:21089/1	110	119	110	119	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	83	32	83	32	HAF3	A00709:261:HT7NNDSX2:3:1607:11749:21089/1	120	171	120	171	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	314	290	314	290	HAF5	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	0	24	0	24	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	289	282	289	282	HAF4	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	25	32	25	32	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	281	253	281	253	HAF3	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	33	61	33	61	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	62	80	62	80	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	94	233	94	HAF3	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	81	220	81	220	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	93	84	93	84	HAF4	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	221	230	221	230	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	83	51	83	51	HAF3	A00709:261:HT7NNDSX2:3:1607:10140:18803/1	231	263	231	263	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	255	253	255	253	HAF3	A00709:261:HT7NNDSX2:3:1609:30816:26584/1	0	2	0	2	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1609:30816:26584/1	3	21	3	21	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	99	233	99	HAF3	A00709:261:HT7NNDSX2:3:1609:30816:26584/1	22	156	22	156	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	322	315	322	315	HAF4	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	0	7	0	7	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	314	290	314	290	HAF5	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	8	32	8	32	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	289	282	289	282	HAF4	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	33	40	33	40	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	281	253	281	253	HAF3	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	41	69	41	69	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	70	88	70	88	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	111	233	111	HAF3	A00709:261:HT7NNDSX2:3:1607:7681:34460/1	89	211	89	211	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	151	233	151	233	HAF3	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	0	82	0	82	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	234	252	234	252	HAF5	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	83	101	83	101	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	253	281	253	281	HAF3	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	102	130	102	130	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	282	289	282	289	HAF4	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	131	138	131	138	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	290	314	290	314	HAF5	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	139	163	139	163	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	315	322	315	322	HAF4	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	164	171	164	171	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	323	323	323	HAF3	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	172	172	172	172	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	324	333	324	333	HAF5	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	173	182	173	182	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	334	338	334	338	HAF3	A00709:261:HT7NNDSX2:3:1608:28076:16485/1	183	187	183	187	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	153	233	153	233	HAF3	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	0	80	0	80	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	234	252	234	252	HAF5	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	81	99	81	99	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	253	281	253	281	HAF3	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	100	128	100	128	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	282	289	282	289	HAF4	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	129	136	129	136	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	290	314	290	314	HAF5	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	137	161	137	161	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	315	322	315	322	HAF4	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	162	169	162	169	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	332	323	332	HAF3	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	170	179	170	179	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	335	375	335	375	HAF3	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	182	222	182	222	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	376	399	376	399	HAF4	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	223	246	223	246	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	400	413	400	413	HAF3	A00709:261:HT7NNDSX2:3:1608:32488:30514/1	247	260	247	260	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	401	400	401	400	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	0	1	0	1	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	399	376	399	376	HAF4	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	2	25	2	25	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	375	334	375	334	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	26	67	26	67	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	333	324	333	324	HAF5	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	68	77	68	77	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	323	323	323	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	78	78	78	78	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	322	315	322	315	HAF4	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	79	86	79	86	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	314	290	314	290	HAF5	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	87	111	87	111	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	289	282	289	282	HAF4	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	112	119	112	119	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	281	253	281	253	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	120	148	120	148	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	149	167	149	167	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	170	233	170	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	168	231	168	231	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	168	153	168	153	HAF3	A00709:261:HT7NNDSX2:3:1610:2998:12821/1	233	248	233	248	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	477	400	477	400	HAF3	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	0	77	0	75	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	476	476	476	476	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	1	1	1	1	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	473	473	473	473	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	4	4	4	4	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	470	470	470	470	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	7	7	7	7	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	469	469	469	469	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	8	8	8	8	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	467	467	467	467	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	10	10	10	10	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	464	464	464	464	UNSr	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	13	13	12	12	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	399	376	399	376	HAF4	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	78	101	76	99	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	375	334	375	334	HAF3	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	102	143	100	141	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	333	324	333	324	HAF5	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	144	153	142	151	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	323	323	323	HAF3	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	154	154	152	152	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	322	315	322	315	HAF4	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	155	162	153	160	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	314	290	314	290	HAF5	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	163	187	161	185	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	289	282	289	282	HAF4	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	188	195	186	193	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	281	253	281	253	HAF3	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	196	224	194	222	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	225	243	223	241	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	202	233	202	HAF3	A00709:261:HT7NNDSX2:3:1609:30825:22748/1	244	275	242	273	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	491	477	491	477	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	0	14	0	14	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	476	476	476	476	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	15	15	15	15	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	476	467	476	467	HAF5	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	15	24	15	24	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	473	473	473	473	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	18	18	18	18	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	470	470	470	470	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	21	21	21	21	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	469	469	469	469	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	22	22	22	22	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	467	467	467	467	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	24	24	24	24	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	466	401	466	401	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	25	90	25	90	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	464	464	464	464	UNSr	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	27	27	27	27	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	399	376	399	376	HAF4	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	92	115	92	115	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	375	334	375	334	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	116	157	116	157	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	333	324	333	324	HAF5	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	158	167	158	167	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	323	323	323	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	168	168	168	168	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	322	315	322	315	HAF4	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	169	176	169	176	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	314	290	314	290	HAF5	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	177	201	177	201	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	289	282	289	282	HAF4	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	202	209	202	209	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	281	253	281	253	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	210	238	210	238	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	252	234	252	234	HAF5	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	239	257	239	257	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	233	209	233	209	HAF3	A00709:261:HT7NNDSX2:3:1610:11171:32268/1	258	282	258	282	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	338	334	338	334	HAF3	A00709:261:HT7NNDSX2:3:1608:20989:25504/1	0	4	0	4	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	333	324	333	324	HAF5	A00709:261:HT7NNDSX2:3:1608:20989:25504/1	5	14	5	14	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	323	323	323	323	HAF3	A00709:261:HT7NNDSX2:3:1608:20989:25504/1	15	15	15	15	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	322	315	322	315	HAF4	A00709:261:HT7NNDSX2:3:1608:20989:25504/1	16	23	16	23	
